index,file,label,result,whole,segment,candidate,raw,boxes
1,captcha_001.jpg,3130,33,33,330,,33,5
2,captcha_002.jpg,2300,23,23,23,,23b,5
3,captcha_003.jpg,5154,,,,,}止,1
4,captcha_004.jpg,1357,37,37,37,,37,3
5,captcha_005.jpg,1099,99,99,99,,99,2
6,captcha_006.jpg,1688,698,698,688,,698,3
7,captcha_007.jpg,2692,292,292,92,,2G92,5
8,captcha_008.jpg,7611,6,6,6,,y6o,3
9,captcha_009.jpg,9661,966,966,9,,966,3
10,captcha_010.jpg,9628,96,96,9,,96z,3
11,captcha_011.jpg,4851,851,8,851,,8,7
12,captcha_012.jpg,4263,4263,4263,1233,,4263,7
13,captcha_013.jpg,0786,86,86,786,,86,3
14,captcha_014.jpg,3764,376,376,376,,376i,4
15,captcha_015.jpg,9424,9424,9424,921,,9424,4
16,captcha_016.jpg,0397,397,9,397,,9z,4
17,captcha_017.jpg,9593,99,99,99,,99,2
18,captcha_018.jpg,7253,23,23,23,,"m,23",3
19,captcha_019.jpg,0489,489,489,189,,489,3
20,captcha_020.jpg,8898,98,98,898,,a98,3
21,captcha_021.jpg,3448,3448,3448,3448,,3448,5
22,captcha_022.jpg,6683,6683,65683,6683,,65683,4
23,captcha_023.jpg,1552,2,2,,,2,2
24,captcha_024.jpg,7776,7776,76,7776,,7-6,4
25,captcha_025.jpg,5899,899,899,899,,899,3
26,captcha_026.jpg,3054,34,34,34,,34,2
27,captcha_027.jpg,8887,8887,8887,8887,,8887,4
28,captcha_028.jpg,4978,4978,478,4978,,478,4
29,captcha_029.jpg,8646,864,864,84,,864,4
30,captcha_030.jpg,4716,41,41,47,,41c,2
31,captcha_031.jpg,4340,434,434,434,,434m,3
32,captcha_032.jpg,7012,72,72,7,,72,4
33,captcha_033.jpg,6697,6697,6697,6697,,6697,6
34,captcha_034.jpg,9892,9892,9892,989,,9892,4
35,captcha_035.jpg,9206,926,926,6,,926,2
36,captcha_036.jpg,1713,3,3,3,,3,2
37,captcha_037.jpg,9900,99,99,9,,99,3
38,captcha_038.jpg,7278,728,728,778,,72z8,3
39,captcha_039.jpg,0113,3,3,3,,i dd3,2
40,captcha_040.jpg,7273,7273,7273,7273,,7273,4
41,captcha_041.jpg,3436,43,43,343,,43c,3
42,captcha_042.jpg,6118,68,68,8,,68,2
43,captcha_043.jpg,6489,6489,6489,6489,,6489,4
44,captcha_044.jpg,5549,9,9,9,,得9,2
45,captcha_045.jpg,6480,648,648,486,,648,4
46,captcha_046.jpg,3080,3,3,38,,3,2
47,captcha_047.jpg,5350,3,3,3,,3,1
48,captcha_048.jpg,9017,9,9,97,,9了,2
49,captcha_049.jpg,3743,343,343,3,,3z43,4
50,captcha_050.jpg,2940,294,294,294,,294,4
51,captcha_051.jpg,8032,8032,832,832,,832,4
52,captcha_052.jpg,5988,5988,98,988,,98,6
53,captcha_053.jpg,3179,3179,9,79,,z9,3
54,captcha_054.jpg,4538,4538,43,438,,43a,3
55,captcha_055.jpg,5049,49,49,19,,地49,2
56,captcha_056.jpg,9947,9947,994,9947,,994之,4
57,captcha_057.jpg,3219,8219,29,629,,老29,4
58,captcha_058.jpg,3763,3763,3763,3763,,3763,4
